deaf	titreDees	genre	vers	lieuComposition	dateComposition	lieuManuscrit	dateManuscrit	qualite	lieuCompositionType	dateCompositionType	lieuManuscritType	dateManuscritType	genreType	rmques
PercLo_M	Le Perceval de Chrétien de Troyes, ms. M, v. 1-2000	roman arthurien	oui	champ. mérid.	1180ca	bourg.	1275pm25	ms1 	champ	2emxiie	bourgfrc	2emxiiie	roman	-
BeaumCoutB_Harl	Les coutumes du Beauvoisis par Ph. de Beaumanoir, t.I, p. 356-441	nil	non	Oise	1283	frc.	1250pm50	ms3	pic	2emxiiie	bourgfrc	2emxiiie	nil	-
AthisH	Li romanz d'Athis et Prophilias, v. 2609-6076	histoire de deux amis en octosyllabes	oui	pic.	1200ca	frc.	1350pm50	cr2	pic	1emxiiie	bourgfrc	mxive	roman	-
HistAncV	[PVR] Histoire Ancienne De Visser nv, Estoires Rogier	Histoire ancienne interrompue au milieu de la Guerre des Gaules (57 av. J.C.)	non	Belgique	1213ca	Nord-Est	1287ca	ms1	wall	1emxiiie	bourgfrc	2emxiiie	hist	-
GuischartG_O	nil	sermon	oui	agn.	1190pm10	agn.	1277pm5	ms	agn	2emxiie	agn	2emxiiie	sermon	-
SGraalIIJosN	Le roman de l'estoire dou graal de Robert de Boron, v. 1-850	roman en vers octosyllabiques	oui	frcomt.	1196pm5	pic.	1290pm10	ms1	bourgfrc	2emxiie	pic	2emxiiie	roman	-
CharroiSch_A3*	Le charroi de Nimes, ms. A3	épopée du cycle de Guillaume d'Orange	oui	nil	1150pm17	lorr.	1325pm25	ms1	nil	mxiie	lorr	1emxive	chgeste	-
ChevIIEspF	Li chevaliers as deus espees, v. 1-2538	roman d'aventures	oui	pic.	1238pm13	Pas-de-Calais	1300ca	cr2	pic	1emxiiie	pic	1emxive	chgeste	-
SRemiB	La vie de saint Remi, poème du XIIIe s. par Richier. v. 1-3000	vie de Saint	oui	champ. sept.	1283pm17	Ardennes	1350ca	ms2	champ	2emxiiie	lorr	mxive	hagio	-
SermCarP	Sermons de Carême en dialecte wallon	neuf sermons en prose pour le Carême	non	liég.	1217pm17	liég.	1225pm25	ms2	wall	1emxiiie	wall	1emxiiie	sermon	-
NarcisusP_D	nil	nil	oui	norm.	1165ca	norm.	1300ca	ms	ouest	2emxiie	ouest	1emxive	narrbref	-
PercLo_L	Le Perceval de Chrétien de Troyes, ms. L, v. 1-2000	roman arthurien	oui	champ. mérid.	1180ca	champ. mérid.	1275pm25	ms1	champ	2emxiie	champ	2emxiiie	roman	-
AucR3	Aucassin et Nicolete: les chants	chantefable en vers et en prose	oui	pic.	1225pm25	pic.	1290pm10	ms1	pic	1emxiiie	pic	2emxiiie	nil	-
PercLo_B	nil	roman arthurien	oui	champ. mérid.	1180ca	bourg.sept.	1310pm10	ms1	champ	2emxiie	bourgfrc	1emxive	roman	-
PBeauvJacB	The Liber Sancti Jacobi by Pierre de Beauvais	traduction	non	Beauvais	1212	champ.	1290pm10	cr	pic	1emxiiie	champ	2emxiiie	hagio	-
BenTroieC	[PVR] Le roman de Troie par B. de ste-Maure, v.715-1728 L. Constans, SATF, t.I, Paris 1904 (M2) Milan bibl. Ambroisienne D 55 fin 12e s	roman épique	oui	poit.	1170ca	agn.	1210pm10	cr3	centre	2emxiie	agn	1emxiiie	hist	-
MarieYon_P	nil	lai breton	oui	agn.	1165ca	pic.	1290pm10	ms	agn	2emxiie	pic	2emxiiie	narrbref	-
RenNouvR	Renart le Nouvel par Jacquemart Gielee, v. 1-3026	roman en vers	oui	Lille	1290ca	Arras	1295	ms	pic	2emxiiie	pic	2emxiiie	roman	-
BenDucF_Harl	[PVR] Chronique des ducs de Normandie,Tome 1, v.8791- 9592,11449-12788 C. Fahlin, 2 vol., Uppsala 1951, 1954 (B) BrM, Harl.1717 1ere m.13e s.	chronique en octosyllabes	oui	poit.	1174ca	agn.	1217pm17	cr2	centre	2emxiie	agn	1emxiiie	hist	-
CharroiSch_D*	Le charroi de Nimes, ms. D	nil	oui	nil	1150pm20	lorr. mérid. 	1275pm25	ms1	nil	mxiie	lorr	2emxiiie	chgeste	-
YvainL;PercL	Le chevalier au lion, ms. H, v. 1-1000, et Perceval, ms. A, v. 1-2000, de Chrétien de Troyes transcription R.L.H. Lops et éd. F. Lecoy, Le conte del Graal	roman arthurien en vers	oui	champ. mérid.	1180ca	champ.	1235ca	ms	champ	2emxiie	champ	1emxiiie	roman	-
RobDiableL	Robert le diable, v. 1-808	roman historique en ocuplets d'octosyllabes	oui	traits norm. ?	1190pm10	pic.	1275pm25	cr	ouest	2emxiie	pic	2emxiiie	roman	-
MarieFab_B	nil	fable	oui	Nord-Ouest	1180ca	agn.	1290pm10	ms	ouest	2emxiie	agn	2emxiiie	narrbref	-
MarieFab_Y	nil	fable	oui	Nord-Ouest	1180ca	nil	1225pm25	ms	ouest	2emxiie	nil	1emxiiie	narrbref	-
ChastVergiS_K	La chastelaine de Vergi, ms. K	conte courtois en octosyllabes	oui	norm.	1240ca	pic.	1350pm10	ms1	ouest	1emxiiie	pic	mxive	narrbref	-
MarieLaisE2	Eliduc, ms. H	lais	oui	Nord-ouest	1165ca	agn.	1275pm25	ms	ouest	2emxiie	agn	2emxiiie	narrbref	-
BenTroieM*	[PVR] Fragments du Roman de Troie P. Meyer, Rom. XVIII (1889), p.70-106 Bibl. de l'Universite,fragments de Bale, p.73-87 fin 12e s	roman épique	oui	poit.	1170ca	Angleterre	1190pm10	cr1	centre	2emxiie	agn	2emxiie	hist	-
